Table ID,Player Name,Rank,Score,Wonder ID,VP - Civilian,VP - Science,VP - Commerce,VP - Guild,VP - Coins,VP - Wonder,VP - Military (Victory),VP - Military (Defeat),ELO Won,ELO After,Start,End
388770428,MKrstv,1,1,14,15,9,0,0,6,2,4,-3,4.06,1632.93,1687199520,1687200317
388770428,Lid Abmobmot,1,1,12,9,4,0,0,5,5,7,-2,3.04,1651.30,1687199520,1687200317
388770428,Melkyrios,1,1,9,11,55,3,17,1,0,10,-3,10.40,1515.23,1687199520,1687200317
388770428,kennyhe1,4,0,11,13,0,0,0,4,7,11,-2,-24.64,1654.53,1687199520,1687200317
