Table ID,Player Name,Rank,Score,Wonder ID,VP - Civilian,VP - Science,VP - Commerce,VP - Guild,VP - Coins,VP - Wonder,VP - Military (Victory),VP - Military (Defeat),ELO Won,ELO After,Start,End
388396502,Qten_Vrbovecki,1,65,4,0,62,0,0,1,3,3,-4,27.04,1451.90,1687100937,1687101456
388396502,Warnblinker,2,58,12,0,0,11,18,13,5,12,-1,3.90,1565.90,1687100937,1687101456
388396502,kennyhe1,3,50,6,21,0,0,5,1,10,14,-1,-14.71,1623.12,1687100937,1687101456
388396502,Solowto,4,46,10,25,2,0,7,1,10,5,-4,-48.69,1422.93,1687100937,1687101456
