Table ID,Player Name,Rank,Score,Wonder ID,VP - Civilian,VP - Science,VP - Commerce,VP - Guild,VP - Coins,VP - Wonder,VP - Military (Victory),VP - Military (Defeat),ELO Won,ELO After,Start,End
393562578,Andreika v 40greike,1,57,11,8,0,6,15,7,7,14,0,15.48,1737.36,1688491248,1688492050
393562578,brandone 93,2,55,13,33,0,0,5,5,7,8,-3,5.32,1684.72,1688491248,1688492050
393562578,kennyhe1,3,54,9,0,36,2,7,3,0,8,-2,-2.86,1607.92,1688491248,1688492050
393562578,kirame,4,44,14,0,36,3,0,5,3,1,-4,-17.94,1616.30,1688491248,1688492050
