Table ID,Player Name,Rank,Score,Wonder ID,VP - Civilian,VP - Science,VP - Commerce,VP - Guild,VP - Coins,VP - Wonder,VP - Military (Victory),VP - Military (Defeat),ELO Won,ELO After,Start,End
393567423,kennyhe1,1,64,8,16,0,4,11,0,20,14,-1,16.98,1625.43,1688490059,1688490510
393567423,audinette97421,2,57,9,14,36,9,0,4,0,0,-6,10.32,1529.57,1688490059,1688490510
393567423,AnniPehm,3,57,13,23,0,0,7,3,7,17,0,-2.95,1515.44,1688490059,1688490510
393567423,Tony Million jr,4,50,10,9,25,2,8,4,2,3,-3,-24.35,1602.09,1688490059,1688490510
