Table ID,Player Name,Rank,Score,Wonder ID,VP - Civilian,VP - Science,VP - Commerce,VP - Guild,VP - Coins,VP - Wonder,VP - Military (Victory),VP - Military (Defeat),ELO Won,ELO After,Start,End
406401188,blackpandaBP,1,60,12,24,13,3,0,8,10,5,-3,12.45,1582.11,1691804712,1691805239
406401188,kennyhe1,2,58,11,27,0,3,7,2,7,13,-1,6.62,1472.36,1691804712,1691805239
406401188,lisaver,3,46,13,3,13,4,16,7,7,0,-4,-2.46,1405.64,1691804712,1691805239
406401188,winkyleeblinko,4,36,2,5,8,0,8,0,3,14,-2,-16.61,1402.60,1691804712,1691805239
