Table ID,Player Name,Rank,Score,Wonder ID,VP - Civilian,VP - Science,VP - Commerce,VP - Guild,VP - Coins,VP - Wonder,VP - Military (Victory),VP - Military (Defeat),ELO Won,ELO After,Start,End
193360878,JTVN,1,65,14,4,48,4,9,2,3,0,-5,21.04,1529.80,1628627215,1628627903
193360878,karta0974508,2,59,12,30,0,0,5,5,10,11,-2,11.58,1541.55,1628627215,1628627903
193360878,Tainahelena,3,54,13,16,0,10,0,9,7,12,0,1.41,1563.08,1628627215,1628627903
193360878,EdCalKut,4,53,11,17,0,6,6,5,7,13,-1,-1.73,1488.95,1628627215,1628627903
193360878,Deka_fr,5,45,1,4,5,0,16,2,15,6,-3,-10.77,1495.11,1628627215,1628627903
193360878,kennyhe1,6,41,10,15,0,0,12,3,10,5,-4,-21.53,1524.66,1628627215,1628627903
