Table ID,Player Name,Rank,Score,Wonder ID,VP - Civilian,VP - Science,VP - Commerce,VP - Guild,VP - Coins,VP - Wonder,VP - Military (Victory),VP - Military (Defeat),ELO Won,ELO After,Start,End
386973607,Lisa15105,1,62,8,9,0,7,10,8,20,10,-2,18.97,1574.78,1686710018,1686710482
386973607,wc3old,2,61,11,28,0,5,4,6,7,12,-1,-2.45,1671.73,1686710018,1686710482
386973607,Hugo-line,3,43,10,17,13,0,0,1,2,13,-3,2.98,1403.06,1686710018,1686710482
386973607,kennyhe1,4,39,7,3,28,3,0,0,10,0,-5,-19.49,1514.75,1686710018,1686710482
