Table ID,Player Name,Rank,Score,Wonder ID,VP - Civilian,VP - Science,VP - Commerce,VP - Guild,VP - Coins,VP - Wonder,VP - Military (Victory),VP - Military (Defeat),ELO Won,ELO After,Start,End
386280654,KH2O7,1,52,2,3,31,3,0,1,10,8,-4,14.98,1617.96,1686523153,1686523585
386280654,kennyhe1,2,51,4,12,0,0,17,3,10,9,0,10.36,1496.67,1686523153,1686523585
386280654,kimbahly,3,49,5,23,4,7,0,8,10,1,-4,-7.76,1542.36,1686523153,1686523585
386280654,lilhallzeee,4,49,13,20,1,3,5,5,7,8,0,-17.58,1485.86,1686523153,1686523585
