Table ID,Player Name,Rank,Score,Wonder ID,VP - Civilian,VP - Science,VP - Commerce,VP - Guild,VP - Coins,VP - Wonder,VP - Military (Victory),VP - Military (Defeat),ELO Won,ELO After,Start,End
476886742,UchWesel,1,72,11,20,0,0,17,10,7,18,0,18.73,1622.02,1708286996,1708287476
476886742,kennyhe1,2,52,13,9,0,5,7,6,7,18,0,2.69,1645.10,1708286996,1708287476
476886742,nastypigeon,3,50,12,9,36,0,6,0,5,0,-6,-7.75,1594.02,1708286996,1708287476
476886742,tjkg,4,40,10,24,2,6,0,4,10,0,-6,-14.01,1494.14,1708286996,1708287476
