Table ID,Player Name,Rank,Score,Wonder ID,VP - Civilian,VP - Science,VP - Commerce,VP - Guild,VP - Coins,VP - Wonder,VP - Military (Victory),VP - Military (Defeat),ELO Won,ELO After,Start,End
386273587,NickPTT,1,64,8,23,0,0,6,3,20,13,-1,22.76,1481.83,1686521220,1686521705
386273587,QuiaSerbelloni,2,62,14,5,48,3,8,1,3,0,-6,-2.56,1626.60,1686521220,1686521705
386273587,kennyhe1,3,61,13,19,0,8,7,8,7,13,-1,-6.08,1482.94,1686521220,1686521705
386273587,yoyoburger,4,41,2,4,9,6,0,6,10,10,-4,-14.12,1401.18,1686521220,1686521705
