Table ID,Player Name,Rank,Score,Wonder ID,VP - Civilian,VP - Science,VP - Commerce,VP - Guild,VP - Coins,VP - Wonder,VP - Military (Victory),VP - Military (Defeat),ELO Won,ELO After,Start,End
388713549,kennyhe1,1,59,9,12,26,10,7,7,0,0,-3,20.13,1642.26,1687187894,1687188364
388713549,pitiwaz,2,55,11,17,0,2,14,4,7,12,-1,6.74,1629.70,1687187894,1687188364
388713549,Syldès,3,38,12,4,0,0,7,4,10,14,-1,-2.27,1563.03,1687187894,1687188364
388713549,Francesco62,4,37,6,17,0,0,6,7,10,0,-3,-24.60,1660.75,1687187894,1687188364
