Table ID,Player Name,Rank,Score,Wonder ID,VP - Civilian,VP - Science,VP - Commerce,VP - Guild,VP - Coins,VP - Wonder,VP - Military (Victory),VP - Military (Defeat),ELO Won,ELO After,Start,End
388799383,kennyhe1,1,64,8,19,0,4,10,0,20,12,-1,19.44,1629.72,1687202254,1687202673
388799383,oyyy_boy,2,51,10,5,31,6,0,5,10,0,-6,-0.36,1699.00,1687202254,1687202673
388799383,naokisan,3,51,2,6,13,0,6,2,10,14,0,-5.67,1545.28,1687202254,1687202673
388799383,-GorillaZ-,4,50,12,12,0,0,21,4,10,5,-2,-16.24,1535.70,1687202254,1687202673
