Table ID,Player Name,Rank,Score,Wonder ID,VP - Civilian,VP - Science,VP - Commerce,VP - Guild,VP - Coins,VP - Wonder,VP - Military (Victory),VP - Military (Defeat),ELO Won,ELO After,Start,End
195687819,NuNuCoBa,1,59,14,0,48,4,5,2,3,0,-3,78.70,1380.15,1629490595,1629491220
195687819,nenez,2,57,11,22,4,4,0,3,7,17,0,3.82,1432.60,1629490595,1629491220
195687819,kennyhe1,3,55,13,25,0,6,11,6,0,9,-2,-15.36,1498.67,1629490595,1629491220
195687819,Neimad_____,4,51,8,8,10,0,13,3,20,0,-3,0.00,1314.82,1629490595,1629491220
