Table ID,Player Name,Rank,Score,Wonder ID,VP - Civilian,VP - Science,VP - Commerce,VP - Guild,VP - Coins,VP - Wonder,VP - Military (Victory),VP - Military (Defeat),ELO Won,ELO After,Start,End
193308880,isagerr,1,56,5,20,16,0,7,7,10,1,-5,10.26,1636.90,1628607530,1628608080
193308880,kennyhe1,2,50,3,3,1,12,11,9,10,8,-4,7.40,1482.88,1628607530,1628608080
193308880,Vodalain,3,46,11,10,4,4,4,1,7,17,-1,-3.91,1443.59,1628607530,1628608080
193308880,phil 2011,4,42,8,13,0,0,0,1,20,10,-2,0.00,1397.87,1628607530,1628608080
