Table ID,Player Name,Rank,Score,Wonder ID,VP - Civilian,VP - Science,VP - Commerce,VP - Guild,VP - Coins,VP - Wonder,VP - Military (Victory),VP - Military (Defeat),ELO Won,ELO After,Start,End
390471394,kennyhe1,1,69,12,20,26,3,0,5,10,8,-3,14.11,1635.45,1687655642,1687656221
390471394,CascadeMN,2,54,3,14,0,4,12,7,10,9,-2,14.34,1446.92,1687655642,1687656221
390471394,wonder19,3,53,9,5,38,0,12,3,0,0,-5,-4.76,1509.24,1687655642,1687656221
390471394,7w01,4,51,11,19,0,7,6,1,3,15,0,-23.69,1566.76,1687655642,1687656221
