Table ID,Player Name,Rank,Score,Wonder ID,VP - Civilian,VP - Science,VP - Commerce,VP - Guild,VP - Coins,VP - Wonder,VP - Military (Victory),VP - Military (Defeat),ELO Won,ELO After,Start,End
395924527,Mateamargo,1,65,10,5,0,6,18,8,10,18,0,11.20,1691.77,1689121635,1689122229
395924527,kennyhe1,2,64,11,15,0,3,16,5,7,18,0,5.58,1575.52,1689121635,1689122229
395924527,Jmz_Bton_30,3,62,9,0,55,2,8,3,0,0,-6,-3.16,1503.54,1689121635,1689122229
395924527,Rammimy,4,46,8,31,10,0,6,2,3,0,-6,-13.62,1452.39,1689121635,1689122229
