Table ID,Player Name,Rank,Score,Wonder ID,VP - Civilian,VP - Science,VP - Commerce,VP - Guild,VP - Coins,VP - Wonder,VP - Military (Victory),VP - Military (Defeat),ELO Won,ELO After,Start,End
193369786,kennyhe1,1,54,11,9,2,4,11,5,7,17,-1,19.74,1546.19,1628626668,1628627164
193369786,Tainahelena,2,53,8,11,0,9,0,8,20,8,-3,4.08,1561.67,1628626668,1628627164
193369786,Gk80,3,45,2,16,1,0,13,3,10,5,-3,-10.05,1558.19,1628626668,1628627164
193369786,BadmouseWW,4,41,13,25,0,0,5,3,7,5,-4,-38.52,1400.00,1628626668,1628627164
