Table ID,Player Name,Rank,Score,Wonder ID,VP - Civilian,VP - Science,VP - Commerce,VP - Guild,VP - Coins,VP - Wonder,VP - Military (Victory),VP - Military (Defeat),ELO Won,ELO After,Start,End
387911317,kennyhe1,1,66,7,26,0,0,11,1,10,18,0,18.66,1571.89,1686964709,1686965199
387911317,Nneko,2,64,6,21,0,0,14,3,10,16,0,6.03,1549.81,1686964709,1686965199
387911317,Rammimy,3,48,10,11,26,0,7,4,5,0,-5,-10.80,1579.98,1686964709,1686965199
387911317,Mishkameskhi,4,46,12,5,16,10,0,10,10,0,-5,-13.89,1438.74,1686964709,1686965199
