Table ID,Player Name,Rank,Score,Wonder ID,VP - Civilian,VP - Science,VP - Commerce,VP - Guild,VP - Coins,VP - Wonder,VP - Military (Victory),VP - Military (Defeat),ELO Won,ELO After,Start,End
387884113,jredul,1,58,10,14,0,9,17,5,5,10,-2,13.87,1591.40,1686953095,1686953615
387884113,kennyhe1,2,57,13,26,36,0,0,1,0,0,-6,5.74,1511.84,1686953095,1686953615
387884113,killmak,3,49,11,3,0,10,15,8,7,8,-2,-6.41,1483.67,1686953095,1686953615
387884113,benia,4,45,14,8,16,0,7,1,3,10,0,0.00,1400.00,1686953095,1686953615
