Table ID,Player Name,Rank,Score,Wonder ID,VP - Civilian,VP - Science,VP - Commerce,VP - Guild,VP - Coins,VP - Wonder,VP - Military (Victory),VP - Military (Defeat),ELO Won,ELO After,Start,End
388783084,Jeanminch,1,60,11,8,16,2,9,7,7,13,-2,26.00,1502.32,1687200709,1687201069
388783084,Zaharias,2,57,10,20,0,8,0,7,10,13,-1,-0.30,1664.22,1687200709,1687201069
388783084,racharles_,3,57,6,9,36,0,7,0,10,0,-5,1.62,1443.15,1687200709,1687201069
388783084,kennyhe1,4,38,8,17,0,4,6,2,3,9,-3,-27.31,1642.46,1687200709,1687201069
