Table ID,Player Name,Rank,Score,Wonder ID,VP - Civilian,VP - Science,VP - Commerce,VP - Guild,VP - Coins,VP - Wonder,VP - Military (Victory),VP - Military (Defeat),ELO Won,ELO After,Start,End
655054464,aspam1729,1,53,10,11,9,3,15,3,10,5,-3,63.12,1419.79,1743974098,1743975344
655054464,Kristjan Sigurdur,1,53,8,12,0,4,0,3,20,16,-2,10.89,1510.69,1743974098,1743975344
655054464,jane4005,3,49,9,12,16,4,10,6,0,4,-3,-4.54,1427.99,1743974098,1743975344
655054464,kennyhe1,4,49,13,22,13,0,6,1,0,10,-3,-27.32,1544.60,1743974098,1743975344
