Table ID,Player Name,Rank,Score,Wonder ID,VP - Civilian,VP - Science,VP - Commerce,VP - Guild,VP - Coins,VP - Wonder,VP - Military (Victory),VP - Military (Defeat),ELO Won,ELO After,Start,End
193796616,kennyhe1,1,54,3,19,0,3,11,3,10,10,-2,14.67,1507.31,1628791308,1628791705
193796616,onyksdragonfly,2,47,6,11,16,0,6,3,3,11,-3,16.53,1416.53,1628791308,1628791705
193796616,Naizeee,3,42,5,29,5,0,0,4,10,0,-6,0.00,1380.52,1628791308,1628791705
193796616,Bagheraa,4,37,11,0,10,0,3,3,7,15,-1,-12.36,1400.00,1628791308,1628791705
