Table ID,Player Name,Rank,Score,Wonder ID,VP - Civilian,VP - Science,VP - Commerce,VP - Guild,VP - Coins,VP - Wonder,VP - Military (Victory),VP - Military (Defeat),ELO Won,ELO After,Start,End
193801077,tony-lee,1,69,6,0,62,0,0,4,3,5,-5,87.01,1387.01,1628794749,1628795361
193801077,kennyhe1,2,61,1,17,0,3,24,0,15,5,-3,-1.01,1546.66,1628794749,1628795361
193801077,raymond_w,3,58,12,21,0,7,3,9,10,10,-2,-13.85,1526.23,1628794749,1628795361
193801077,will_wang,4,48,7,14,1,0,8,1,10,16,-2,0.00,1348.83,1628794749,1628795361
