Table ID,Player Name,Rank,Score,Wonder ID,VP - Civilian,VP - Science,VP - Commerce,VP - Guild,VP - Coins,VP - Wonder,VP - Military (Victory),VP - Military (Defeat),ELO Won,ELO After,Start,End
390765866,kennyhe1,1,64,10,31,0,0,7,2,10,15,-1,15.98,1652.11,1687730536,1687731018
390765866,oyyy_boy,2,47,13,13,5,2,4,4,7,13,-1,2.44,1641.42,1687730536,1687731018
390765866,saltdevil,3,41,12,0,31,1,5,2,2,3,-3,-7.72,1587.54,1687730536,1687731018
390765866,ladygreycurls,4,38,2,15,1,3,11,2,10,1,-5,-10.71,1437.40,1687730536,1687731018
