Table ID,Player Name,Rank,Score,Wonder ID,VP - Civilian,VP - Science,VP - Commerce,VP - Guild,VP - Coins,VP - Wonder,VP - Military (Victory),VP - Military (Defeat),ELO Won,ELO After,Start,End
390803151,kennyhe1,1,57,14,28,0,4,10,0,3,13,-1,11.61,1663.72,1687742183,1687742604
390803151,JoelHot,2,54,13,25,10,0,0,1,7,13,-2,2.27,1595.02,1687742183,1687742604
390803151,Ni9htStar,3,50,3,0,36,0,6,7,3,3,-5,6.77,1406.77,1687742183,1687742604
390803151,cagomega3,4,44,12,4,0,3,17,7,10,6,-3,-16.14,1459.45,1687742183,1687742604
