Table ID,Player Name,Rank,Score,Wonder ID,VP - Civilian,VP - Science,VP - Commerce,VP - Guild,VP - Coins,VP - Wonder,VP - Military (Victory),VP - Military (Defeat),ELO Won,ELO After,Start,End
193321267,Black Lech44,1,53,12,17,0,0,8,6,10,14,-2,12.66,1638.30,1628615326,1628615752
193321267,kennyhe1,2,52,2,21,0,5,26,2,0,2,-4,8.33,1510.62,1628615326,1628615752
193321267,PapaRimsky,3,39,10,17,9,2,0,4,5,6,-4,-5.25,1464.81,1628615326,1628615752
193321267,gnegne93,4,32,13,0,16,0,4,0,0,14,-2,-55.09,1447.53,1628615326,1628615752
