Table ID,Player Name,Rank,Score,Wonder ID,VP - Civilian,VP - Science,VP - Commerce,VP - Guild,VP - Coins,VP - Wonder,VP - Military (Victory),VP - Military (Defeat),ELO Won,ELO After,Start,End
388219753,kennyhe1,1,59,12,6,26,0,8,2,10,8,-1,7.53,1719.03,1687047595,1687048080
388219753,zeneta,2,50,8,15,0,0,12,3,20,5,-5,10.30,1473.77,1687047595,1687048080
388219753,ChchChurko,3,49,11,28,0,3,13,1,3,4,-3,-5.12,1488.52,1687047595,1687048080
388219753,Vazzya,4,40,10,5,5,4,0,7,5,14,0,-9.42,1400.00,1687047595,1687048080
