Table ID,Player Name,Rank,Score,Wonder ID,VP - Civilian,VP - Science,VP - Commerce,VP - Guild,VP - Coins,VP - Wonder,VP - Military (Victory),VP - Military (Defeat),ELO Won,ELO After,Start,End
388185243,kennyhe1,1,67,10,13,0,0,26,1,10,17,0,16.80,1724.43,1687037838,1687038218
388185243,Knightery,2,62,12,10,50,0,0,3,5,0,-6,11.57,1609.80,1687037838,1687038218
388185243,hamekoue,3,59,11,24,0,3,4,8,3,17,0,-11.76,1721.76,1687037838,1687038218
388185243,Carrabas,4,46,8,13,0,4,6,7,20,0,-4,-16.61,1602.27,1687037838,1687038218
