Table ID,Player Name,Rank,Score,Wonder ID,VP - Civilian,VP - Science,VP - Commerce,VP - Guild,VP - Coins,VP - Wonder,VP - Military (Victory),VP - Military (Defeat),ELO Won,ELO After,Start,End
399933723,Salsadip,1,60,12,0,40,3,0,7,10,5,-5,23.32,1491.29,1690151652,1690152127
399933723,mog40,2,57,9,4,25,10,8,4,0,8,-2,7.42,1509.45,1690151652,1690152127
399933723,Galeh,3,56,6,30,0,0,20,1,3,5,-3,-11.85,1569.59,1690151652,1690152127
399933723,kennyhe1,4,53,11,20,0,4,12,7,0,10,0,-18.89,1478.39,1690151652,1690152127
