Table ID,Player Name,Rank,Score,Wonder ID,VP - Civilian,VP - Science,VP - Commerce,VP - Guild,VP - Coins,VP - Wonder,VP - Military (Victory),VP - Military (Defeat),ELO Won,ELO After,Start,End
390467246,kennyhe1,1,65,12,27,0,5,13,5,5,11,-1,17.92,1618.58,1687652264,1687652689
390467246,Chlok0,2,62,7,4,48,3,0,1,10,0,-4,1.42,1645.20,1687652264,1687652689
390467246,EvilMeeple,3,47,10,7,0,4,10,5,5,16,0,-1.53,1501.92,1687652264,1687652689
390467246,RopeyAlloy56,4,40,11,11,16,0,0,4,7,5,-3,-17.80,1525.66,1687652264,1687652689
