Table ID,Player Name,Rank,Score,Wonder ID,VP - Civilian,VP - Science,VP - Commerce,VP - Guild,VP - Coins,VP - Wonder,VP - Military (Victory),VP - Military (Defeat),ELO Won,ELO After,Start,End
196347921,combo2,1,63,11,14,0,6,11,7,7,18,0,73.31,1529.99,1629732883,1629733311
196347921,kennyhe1,2,56,10,26,0,0,8,0,10,12,0,10.36,1477.52,1629732883,1629733311
196347921,HandJ,3,52,1,22,0,7,8,5,15,0,-5,-16.64,1646.08,1629732883,1629733311
196347921,Ohill,4,47,13,0,38,0,10,4,0,0,-5,-18.15,1474.56,1629732883,1629733311
