Table ID,Player Name,Rank,Score,Wonder ID,VP - Civilian,VP - Science,VP - Commerce,VP - Guild,VP - Coins,VP - Wonder,VP - Military (Victory),VP - Military (Defeat),ELO Won,ELO After,Start,End
470228588,Tozto,1,57,6,9,9,0,13,4,10,13,-1,72.37,1514.30,1706913645,1706914301
470228588,charlieec,2,51,8,4,0,5,14,12,20,0,-4,8.01,1488.34,1706913645,1706914301
470228588,kennyhe1,3,48,9,21,4,4,2,1,0,16,0,-16.16,1618.83,1706913645,1706914301
470228588,woanegaine,4,41,11,13,16,0,0,5,7,3,-3,-15.97,1427.26,1706913645,1706914301
