Table ID,Player Name,Rank,Score,Wonder ID,VP - Civilian,VP - Science,VP - Commerce,VP - Guild,VP - Coins,VP - Wonder,VP - Military (Victory),VP - Military (Defeat),ELO Won,ELO After,Start,End
386657988,JonahvonCHANG,1,56,2,0,38,3,0,2,10,6,-3,25.50,1544.56,1686626669,1686627084
386657988,ShiftlessWhenIdle12,2,50,11,5,0,6,21,6,7,7,-2,3.28,1644.30,1686626669,1686627084
386657988,TheChugsy,3,47,14,34,0,3,0,4,3,5,-2,-13.34,1674.00,1686626669,1686627084
386657988,kennyhe1,4,45,3,15,4,0,10,1,10,6,-1,-15.43,1516.63,1686626669,1686627084
