Table ID,Player Name,Rank,Score,Wonder ID,VP - Civilian,VP - Science,VP - Commerce,VP - Guild,VP - Coins,VP - Wonder,VP - Military (Victory),VP - Military (Defeat),ELO Won,ELO After,Start,End
388513500,H3pha,1,72,12,22,1,3,10,8,10,18,0,14.79,1744.04,1687124459,1687124855
388513500,kennyhe1,2,65,4,22,0,4,7,4,10,18,0,9.52,1630.99,1687124459,1687124855
388513500,Dottorics,3,54,8,22,0,4,10,4,20,0,-6,-4.16,1622.01,1687124459,1687124855
388513500,Grbouille_19,4,49,10,0,40,6,0,4,5,0,-6,-20.15,1641.27,1687124459,1687124855
