Table ID,Player Name,Rank,Score,Wonder ID,VP - Civilian,VP - Science,VP - Commerce,VP - Guild,VP - Coins,VP - Wonder,VP - Military (Victory),VP - Military (Defeat),ELO Won,ELO After,Start,End
393550291,kennyhe1,1,53,13,22,4,0,8,1,0,18,0,10.02,1583.09,1688487652,1688488119
393550291,OJAnn,2,49,8,16,0,4,0,3,20,9,-3,43.89,1343.89,1688487652,1688488119
393550291,Yuxuan-w,3,47,11,8,21,3,6,3,0,9,-3,3.63,1305.00,1688487652,1688488119
393550291,Rebecca Shao,4,37,2,13,4,10,6,7,3,0,-6,-25.86,1481.32,1688487652,1688488119
