Table ID,Player Name,Rank,Score,Wonder ID,VP - Civilian,VP - Science,VP - Commerce,VP - Guild,VP - Coins,VP - Wonder,VP - Military (Victory),VP - Military (Defeat),ELO Won,ELO After,Start,End
390753005,Yvonism,1,71,11,27,0,0,17,2,7,18,0,18.47,1641.33,1687727840,1687728242
390753005,kennyhe1,2,58,10,4,0,10,10,6,10,18,0,2.89,1655.61,1687727840,1687728242
390753005,BARRENNE,3,53,9,8,31,10,0,10,0,0,-6,-5.99,1587.61,1687727840,1687728242
390753005,mikie150,4,38,14,15,25,0,0,1,3,0,-6,-15.37,1525.41,1687727840,1687728242
