Table ID,Player Name,Rank,Score,Wonder ID,VP - Civilian,VP - Science,VP - Commerce,VP - Guild,VP - Coins,VP - Wonder,VP - Military (Victory),VP - Military (Defeat),ELO Won,ELO After,Start,End
193542930,vof,1,57,4,8,0,10,12,3,10,16,-2,16.01,1588.66,1628697414,1628697980
193542930,ikhaathogegebouwen,2,54,2,11,31,0,0,0,10,5,-3,5.59,1539.27,1628697414,1628697980
193542930,EllieD19,3,49,7,18,1,0,17,9,3,5,-4,-1.62,1450.13,1628697414,1628697980
193542930,kennyhe1,4,44,5,3,21,0,6,1,10,5,-2,-19.98,1499.11,1628697414,1628697980
