Table ID,Player Name,Rank,Score,Wonder ID,VP - Civilian,VP - Science,VP - Commerce,VP - Guild,VP - Coins,VP - Wonder,VP - Military (Victory),VP - Military (Defeat),ELO Won,ELO After,Start,End
195137332,skyanosn,1,48,11,10,0,10,0,11,7,12,-2,12.29,1686.48,1629292053,1629292446
195137332,Jensaisrien,2,45,10,8,1,5,0,5,10,17,-1,8.81,1545.97,1629292053,1629292446
195137332,Romatar,3,44,13,21,1,0,19,2,7,0,-6,-0.14,1475.93,1629292053,1629292446
195137332,kennyhe1,4,41,1,20,0,0,0,2,15,7,-3,-20.96,1558.49,1629292053,1629292446
