Table ID,Player Name,Rank,Score,Wonder ID,VP - Civilian,VP - Science,VP - Commerce,VP - Guild,VP - Coins,VP - Wonder,VP - Military (Victory),VP - Military (Defeat),ELO Won,ELO After,Start,End
193798973,lihaoz,1,64,8,15,0,4,11,3,13,18,0,12.73,1700.54,1628790561,1628791183
193798973,Richford,2,62,12,20,0,8,9,5,10,10,0,7.03,1656.31,1628790561,1628791183
193798973,DiezL59,3,56,2,0,36,6,8,5,3,3,-5,11.15,1465.46,1628790561,1628791183
193798973,kennyhe1,4,50,6,17,0,6,0,7,10,12,-2,0.91,1492.64,1628790561,1628791183
193798973,GuiCTBA,5,47,10,20,5,0,9,3,10,3,-3,-5.35,1457.40,1628790561,1628791183
193798973,Top_cat1,6,44,14,21,10,0,14,2,3,0,-6,-26.47,1647.81,1628790561,1628791183
