Table ID,Player Name,Rank,Score,Wonder ID,VP - Civilian,VP - Science,VP - Commerce,VP - Guild,VP - Coins,VP - Wonder,VP - Military (Victory),VP - Military (Defeat),ELO Won,ELO After,Start,End
393571462,Ezekiel Lunarion,1,64,13,19,0,0,14,8,7,17,-1,23.99,1601.76,1688492087,1688492603
393571462,alanlb29,2,56,14,12,43,3,0,1,3,0,-6,-0.39,1727.78,1688492087,1688492603
393571462,Elm323,3,51,11,3,0,10,10,5,7,17,-1,-5.36,1608.62,1688492087,1688492603
393571462,kennyhe1,4,47,12,26,0,2,7,4,10,2,-4,-18.24,1589.68,1688492087,1688492603
