Table ID,Player Name,Rank,Score,Wonder ID,VP - Civilian,VP - Science,VP - Commerce,VP - Guild,VP - Coins,VP - Wonder,VP - Military (Victory),VP - Military (Defeat),ELO Won,ELO After,Start,End
392741933,Ray of House Fruit,1,61,10,5,43,0,0,5,0,10,-2,13.05,1626.63,1688269987,1688270391
392741933,kennyhe1,2,61,1,26,0,0,16,1,8,11,-1,2.45,1576.72,1688269987,1688270391
392741933,Nellie,3,47,11,19,0,7,13,5,7,0,-4,-6.39,1412.13,1688269987,1688270391
392741933,rrg78,3,47,5,12,10,0,0,5,10,11,-1,-9.11,1448.35,1688269987,1688270391
