Table ID,Player Name,Rank,Score,Wonder ID,VP - Civilian,VP - Science,VP - Commerce,VP - Guild,VP - Coins,VP - Wonder,VP - Military (Victory),VP - Military (Defeat),ELO Won,ELO After,Start,End
388796746,-GorillaZ-,1,56,10,0,0,9,26,5,10,8,-2,23.76,1559.46,1687202708,1687203184
388796746,jdhistoire,2,54,11,16,0,6,10,4,7,12,-1,-4.00,1748.26,1687202708,1687203184
388796746,HaMeeple Moshava,3,41,9,24,0,4,0,12,0,4,-3,2.97,1448.84,1687202708,1687203184
388796746,kennyhe1,4,38,6,21,2,0,5,1,3,10,-4,-22.73,1606.99,1687202708,1687203184
