Table ID,Player Name,Rank,Score,Wonder ID,VP - Civilian,VP - Science,VP - Commerce,VP - Guild,VP - Coins,VP - Wonder,VP - Military (Victory),VP - Military (Defeat),ELO Won,ELO After,Start,End
194711721,Audaces,1,65,6,26,0,0,17,0,10,13,-1,10.60,1615.14,1629132325,1629132791
194711721,kennyhe1,2,59,12,6,38,4,6,2,0,6,-3,6.43,1478.87,1629132325,1629132791
194711721,Padthai96,3,48,1,13,0,8,0,4,15,11,-3,-2.93,1414.61,1629132325,1629132791
194711721,Azypok,4,46,7,17,13,0,0,5,10,5,-4,0.00,1386.88,1629132325,1629132791
