Table ID,Player Name,Rank,Score,Wonder ID,VP - Civilian,VP - Science,VP - Commerce,VP - Guild,VP - Coins,VP - Wonder,VP - Military (Victory),VP - Military (Defeat),ELO Won,ELO After,Start,End
394579986,kennyhe1,1,58,8,16,0,0,15,2,13,13,-1,20.34,1553.93,1688761741,1688762315
394579986,christof138,2,54,9,16,9,2,15,4,0,10,-2,5.44,1560.66,1688761741,1688762315
394579986,Spelunk-Alex,3,51,11,8,0,11,0,15,7,13,-3,-14.40,1633.06,1688761741,1688762315
394579986,Chrysalis033,4,48,10,23,13,0,7,1,10,0,-6,-11.38,1404.05,1688761741,1688762315
