Table ID,Player Name,Rank,Score,Wonder ID,VP - Civilian,VP - Science,VP - Commerce,VP - Guild,VP - Coins,VP - Wonder,VP - Military (Victory),VP - Military (Defeat),ELO Won,ELO After,Start,End
388216877,Edkar,1,57,12,13,0,5,7,9,10,14,-1,25.35,1540.53,1687049288,1687049818
388216877,LSWK,2,53,11,24,0,5,12,2,3,9,-2,0.05,1690.55,1687049288,1687049818
388216877,kennyhe1,3,50,14,5,26,0,6,0,3,11,-1,-14.87,1700.05,1687049288,1687049818
388216877,JorgeRamone,4,45,8,16,21,0,10,1,3,0,-6,-21.06,1429.99,1687049288,1687049818
